b,o,o,y,o,g,g,g,w,b,w,y,r,w,o,b,b,y,r,y,r,g,r,w,front-twice
b,o,o,y,o,g,o,b,w,b,r,y,r,w,g,g,b,y,w,y,w,r,g,r,bottom-twice
w,o,r,y,g,b,o,o,w,b,g,y,r,w,g,g,b,o,w,b,y,r,y,r,left-reversed
o,y,w,r,b,o,o,o,g,b,g,y,w,b,g,g,r,w,w,b,y,r,y,r,top-reversed
o,w,w,r,b,o,o,o,g,y,g,r,b,g,w,g,r,w,r,b,y,b,y,y,right-reversed
o,b,w,r,y,o,y,o,g,y,g,r,b,o,w,w,w,b,r,r,y,b,g,g,back-reversed
o,b,b,w,y,r,y,w,y,r,g,g,b,o,y,w,w,b,r,r,o,o,g,g,front-reversed
o,b,b,w,y,r,g,g,y,r,y,w,b,o,r,r,w,b,y,w,o,g,o,g,bottom-reversed
w,b,b,w,g,y,g,r,o,r,b,w,b,o,r,r,w,o,y,o,y,g,y,g,left
b,w,w,b,o,r,g,r,b,o,b,w,w,o,r,r,g,y,y,o,y,g,y,g,top
b,o,w,w,o,r,g,r,b,g,b,g,r,w,r,o,b,y,w,o,y,y,y,g,right
w,o,w,w,o,r,b,r,b,g,b,g,r,g,r,y,w,b,o,y,y,y,o,g,back
w,o,r,r,o,y,b,y,b,b,g,g,w,g,w,y,w,b,o,y,r,r,o,g,front
w,o,r,r,o,y,o,y,b,b,b,y,w,g,g,g,w,b,w,y,o,r,g,r,bottom
o,o,g,r,y,o,y,o,y,b,b,y,w,g,g,g,w,b,w,b,w,r,r,r,left-twice
r,g,o,o,w,g,y,o,w,b,b,y,y,o,g,g,y,b,w,b,w,r,r,r,top-twice
r,r,o,r,w,g,y,o,w,w,b,y,g,g,o,y,y,b,b,b,w,g,r,o,right-twice
o,r,o,r,y,g,g,o,w,w,b,y,g,y,o,w,b,b,b,y,w,g,r,r,back-twice
o,r,g,w,y,o,g,g,y,b,w,w,o,y,g,w,b,b,b,y,r,o,r,r,front-twice
o,r,g,w,y,o,g,w,y,b,b,y,o,y,g,g,b,b,w,w,r,r,o,r,bottom-twice
y,r,b,w,o,w,y,g,r,b,o,y,o,y,g,g,b,g,w,o,w,r,b,r,left-reversed
r,w,y,b,b,g,y,g,o,w,o,y,r,b,g,g,o,y,w,o,w,r,b,r,top-reversed
r,w,y,o,b,g,y,g,o,w,o,b,b,g,r,g,r,y,r,o,w,w,b,y,right-reversed
y,b,y,o,b,g,y,g,o,w,o,b,b,r,r,w,y,o,r,r,w,w,g,g,back-reversed
y,b,b,r,b,o,y,y,w,b,o,o,w,r,w,w,y,o,r,r,g,g,g,g,front-reversed
y,b,b,r,b,o,o,o,w,b,w,w,w,r,r,r,y,o,y,y,g,g,g,g,bottom-reversed
y,b,o,r,o,b,o,o,y,b,b,w,w,r,r,r,y,g,y,g,w,g,w,g,left
o,y,r,b,y,b,o,o,w,r,b,w,y,g,r,r,o,b,y,g,w,g,w,g,top
o,r,r,w,y,b,o,o,w,g,b,g,r,y,r,g,b,b,y,g,w,y,w,o,right
y,g,r,w,r,b,o,o,w,g,b,g,r,o,r,w,y,b,g,b,w,y,y,o,back
y,g,o,b,r,w,o,y,b,w,g,g,r,o,w,w,y,b,g,b,r,r,y,o,front
y,g,o,b,r,w,g,b,b,w,o,y,r,o,g,g,y,b,w,w,y,r,o,r,bottom
y,g,o,b,b,g,w,r,w,w,b,y,r,o,g,g,y,o,w,b,y,r,o,r,left-twice
b,o,g,y,r,o,w,r,y,o,b,y,b,g,g,g,w,w,w,b,y,r,o,r,top-twice
b,r,g,r,r,o,w,r,y,w,b,w,g,g,g,b,y,w,o,b,y,o,o,y,right-twice
y,o,g,r,b,o,g,r,y,w,b,w,g,w,g,r,b,o,w,y,y,o,r,b,back-twice
y,o,o,y,b,g,g,g,w,b,w,y,r,w,o,r,b,o,w,y,r,g,r,b,front-twice
y,o,o,y,b,g,o,r,w,b,w,y,r,w,g,g,b,o,w,y,b,r,g,r,bottom-twice
w,o,w,y,g,r,b,o,b,b,g,y,r,w,g,g,b,o,w,y,y,r,o,r,left-reversed
o,y,w,w,b,o,b,o,g,r,g,y,b,b,g,g,r,w,w,y,y,r,o,r,top-reversed
o,w,w,r,b,o,b,o,g,y,g,w,b,g,b,g,r,w,r,y,y,r,o,y,right-reversed
b,b,w,r,o,o,y,o,g,y,g,w,b,o,b,w,w,y,r,r,y,r,g,g,back-reversed
b,b,b,b,o,r,y,w,y,w,g,g,r,o,y,w,w,y,r,r,o,o,g,g,front-reversed
b,b,b,b,o,r,g,g,y,w,y,w,r,o,r,r,w,y,y,w,o,g,o,g,bottom-reversed
w,b,y,b,g,o,g,r,b,w,b,w,r,o,r,r,w,o,y,o,y,g,y,g,left
y,w,b,b,b,w,g,r,r,o,b,w,w,o,r,r,g,o,y,o,y,g,y,g,top
y,o,b,w,b,w,g,r,r,g,b,g,r,w,r,o,b,o,w,o,y,y,y,g,right
w,o,b,w,o,w,y,r,r,g,b,g,r,g,r,y,w,b,o,o,y,y,b,g,back
w,o,r,w,o,y,y,y,b,r,g,g,b,g,w,y,w,b,o,o,r,r,b,g,front
w,o,r,w,o,y,o,o,b,r,y,y,b,g,g,g,w,b,w,y,b,r,g,r,bottom
b,o,g,w,o,o,y,o,y,r,b,y,b,g,g,g,w,y,w,b,w,r,r,r,left-twice
w,g,o,b,b,g,y,o,w,y,b,y,o,o,g,g,y,r,w,b,w,r,r,r,top-twice
w,r,o,r,b,g,y,o,w,w,b,y,g,g,o,o,y,r,y,b,w,g,r,b,right-twice
b,r,o,r,o,g,g,o,w,w,b,y,g,y,o,b,b,y,r,y,w,g,r,w,back-twice
b,r,g,w,o,o,g,g,y,b,w,w,o,y,g,b,b,y,r,y,r,o,r,w,front-twice
b,r,g,w,o,o,g,b,y,b,r,y,o,y,g,g,b,y,w,w,w,r,o,r,bottom-twice
y,r,r,w,o,b,o,g,w,b,o,y,o,y,g,g,b,g,w,b,w,r,y,r,left-reversed
r,w,y,r,b,g,o,g,o,b,o,y,w,b,g,g,o,y,w,b,w,r,y,r,top-reversed
r,w,y,o,b,g,o,g,o,w,o,r,b,g,w,g,r,y,r,b,w,b,y,y,right-reversed
o,b,y,o,y,g,y,g,o,w,o,r,b,r,w,w,y,b,r,r,w,b,g,g,back-reversed
o,b,b,w,y,o,y,y,w,r,o,o,b,r,w,w,y,b,r,r,g,g,g,g,front-reversed
o,b,b,w,y,o,o,o,w,r,w,w,b,r,r,r,y,b,y,y,g,g,g,g,bottom-reversed
y,b,b,w,o,y,o,o,o,r,b,w,b,r,r,r,y,g,y,g,w,g,w,g,left
b,y,w,b,o,r,o,o,b,r,b,w,y,g,r,r,o,y,y,g,w,g,w,g,top
b,r,w,w,o,r,o,o,b,g,b,g,r,y,r,g,b,y,y,g,w,y,w,o,right
y,g,w,w,r,r,b,o,b,g,b,g,r,o,r,w,y,b,g,y,w,y,o,o,back
y,g,o,r,r,w,b,y,b,b,g,g,w,o,w,w,y,b,g,y,r,r,o,o,front
y,g,o,r,r,w,g,y,b,b,b,y,w,o,g,g,y,b,w,w,o,r,o,r,bottom
o,g,o,r,y,g,w,r,w,b,b,y,w,o,g,g,y,b,w,b,y,r,o,r,left-twice
r,o,g,o,w,o,w,r,y,b,b,y,y,g,g,g,w,b,w,b,y,r,o,r,top-twice
r,r,g,r,w,o,w,r,y,w,b,w,g,g,g,y,y,b,b,b,y,o,o,o,right-twice
o,o,g,r,y,o,g,r,y,w,b,w,g,w,g,w,b,b,b,y,y,o,r,r,back-twice
o,o,o,y,y,g,g,g,w,b,w,y,r,w,o,w,b,b,b,y,r,g,r,r,front-twice
o,o,o,y,y,g,o,w,w,b,b,y,r,w,g,g,b,b,w,y,r,r,g,r,bottom-twice
w,o,b,y,g,w,y,o,r,b,g,y,r,w,g,g,b,o,w,o,y,r,b,r,left-reversed
o,y,w,b,b,o,y,o,g,w,g,y,r,b,g,g,r,w,w,o,y,r,b,r,top-reversed
o,w,w,r,b,o,y,o,g,y,g,b,b,g,r,g,r,w,r,o,y,w,b,y,right-reversed
y,b,w,r,b,o,y,o,g,y,g,b,b,o,r,w,w,o,r,r,y,w,g,g,back-reversed
y,b,b,r,b,r,y,w,y,b,g,g,w,o,y,w,w,o,r,r,o,o,g,g,front-reversed
y,b,b,r,b,r,g,g,y,b,y,w,w,o,r,r,w,o,y,w,o,g,o,g,bottom-reversed
w,b,o,r,g,b,g,r,y,b,b,w,w,o,r,r,w,o,y,o,y,g,y,g,left
o,w,r,b,y,b,g,r,w,o,b,w,w,o,r,r,g,b,y,o,y,g,y,g,top
o,o,r,w,y,b,g,r,w,g,b,g,r,w,r,o,b,b,w,o,y,y,y,g,right
w,o,r,w,o,b,o,r,w,g,b,g,r,g,r,y,w,b,o,b,y,y,y,g,back
w,o,r,b,o,y,o,y,b,w,g,g,r,g,w,y,w,b,o,b,r,r,y,g,front
w,o,r,b,o,y,o,b,b,w,o,y,r,g,g,g,w,b,w,y,y,r,g,r,bottom
y,o,g,b,b,o,y,o,y,w,b,y,r,g,g,g,w,o,w,b,w,r,r,r,left-twice
b,g,o,y,r,g,y,o,w,o,b,y,b,o,g,g,y,w,w,b,w,r,r,r,top-twice
b,r,o,r,r,g,y,o,w,w,b,y,g,g,o,b,y,w,o,b,w,g,r,y,right-twice
y,r,o,r,b,g,g,o,w,w,b,y,g,y,o,r,b,o,w,y,w,g,r,b,back-twice
y,r,g,w,b,o,g,g,y,b,w,w,o,y,g,r,b,o,w,y,r,o,r,b,front-twice
y,r,g,w,b,o,g,r,y,b,w,y,o,y,g,g,b,o,w,w,b,r,o,r,bottom-twice
y,r,w,w,o,r,b,g,b,b,o,y,o,y,g,g,b,g,w,y,w,r,o,r,left-reversed
r,w,y,w,b,g,b,g,o,r,o,y,b,b,g,g,o,y,w,y,w,r,o,r,top-reversed
r,w,y,o,b,g,b,g,o,w,o,w,b,g,b,g,r,y,r,y,w,r,o,y,right-reversed
b,b,y,o,o,g,y,g,o,w,o,w,b,r,b,w,y,y,r,r,w,r,g,g,back-reversed
b,b,b,b,o,o,y,y,w,w,o,o,r,r,w,w,y,y,r,r,g,g,g,g,front-reversed
b,b,b,b,o,o,o,o,w,w,w,w,r,r,r,r,y,y,y,y,g,g,g,g,bottom-reversed
y,b,y,b,o,o,o,o,b,w,b,w,r,r,r,r,y,g,y,g,w,g,w,g,left
y,y,b,b,b,w,o,o,r,r,b,w,y,g,r,r,o,o,y,g,w,g,w,g,top
y,r,b,w,b,w,o,o,r,g,b,g,r,y,r,g,b,o,y,g,w,y,w,o,right
y,g,b,w,r,w,y,o,r,g,b,g,r,o,r,w,y,b,g,o,w,y,b,o,back
y,g,o,w,r,w,y,y,b,r,g,g,b,o,w,w,y,b,g,o,r,r,b,o,front
y,g,o,w,r,w,g,o,b,r,y,y,b,o,g,g,y,b,w,w,b,r,o,r,bottom
b,g,o,w,o,g,w,r,w,r,b,y,b,o,g,g,y,y,w,b,y,r,o,r,left-twice
w,o,g,b,b,o,w,r,y,y,b,y,o,g,g,g,w,r,w,b,y,r,o,r,top-twice
w,r,g,r,b,o,w,r,y,w,b,w,g,g,g,o,y,r,y,b,y,o,o,b,right-twice
b,o,g,r,o,o,g,r,y,w,b,w,g,w,g,b,b,y,r,y,y,o,r,w,back-twice
b,o,o,y,o,g,g,g,w,b,w,y,r,w,o,b,b,y,r,y,r,g,r,w,front-twice
b,o,o,y,o,g,o,b,w,b,r,y,r,w,g,g,b,y,w,y,w,r,g,r,bottom-twice
w,o,r,y,g,b,o,o,w,b,g,y,r,w,g,g,b,o,w,b,y,r,y,r,left-reversed
o,y,w,r,b,o,o,o,g,b,g,y,w,b,g,g,r,w,w,b,y,r,y,r,top-reversed
o,w,w,r,b,o,o,o,g,y,g,r,b,g,w,g,r,w,r,b,y,b,y,y,right-reversed
o,b,w,r,y,o,y,o,g,y,g,r,b,o,w,w,w,b,r,r,y,b,g,g,back-reversed
o,b,b,w,y,r,y,w,y,r,g,g,b,o,y,w,w,b,r,r,o,o,g,g,front-reversed
o,b,b,w,y,r,g,g,y,r,y,w,b,o,r,r,w,b,y,w,o,g,o,g,bottom-reversed
w,b,b,w,g,y,g,r,o,r,b,w,b,o,r,r,w,o,y,o,y,g,y,g,left
b,w,w,b,o,r,g,r,b,o,b,w,w,o,r,r,g,y,y,o,y,g,y,g,top
b,o,w,w,o,r,g,r,b,g,b,g,r,w,r,o,b,y,w,o,y,y,y,g,right
w,o,w,w,o,r,b,r,b,g,b,g,r,g,r,y,w,b,o,y,y,y,o,g,back
w,o,r,r,o,y,b,y,b,b,g,g,w,g,w,y,w,b,o,y,r,r,o,g,front
w,o,r,r,o,y,o,y,b,b,b,y,w,g,g,g,w,b,w,y,o,r,g,r,bottom
o,o,g,r,y,o,y,o,y,b,b,y,w,g,g,g,w,b,w,b,w,r,r,r,left-twice
r,g,o,o,w,g,y,o,w,b,b,y,y,o,g,g,y,b,w,b,w,r,r,r,top-twice
r,r,o,r,w,g,y,o,w,w,b,y,g,g,o,y,y,b,b,b,w,g,r,o,right-twice
o,r,o,r,y,g,g,o,w,w,b,y,g,y,o,w,b,b,b,y,w,g,r,r,back-twice
o,r,g,w,y,o,g,g,y,b,w,w,o,y,g,w,b,b,b,y,r,o,r,r,front-twice
o,r,g,w,y,o,g,w,y,b,b,y,o,y,g,g,b,b,w,w,r,r,o,r,bottom-twice
y,r,b,w,o,w,y,g,r,b,o,y,o,y,g,g,b,g,w,o,w,r,b,r,left-reversed
r,w,y,b,b,g,y,g,o,w,o,y,r,b,g,g,o,y,w,o,w,r,b,r,top-reversed
r,w,y,o,b,g,y,g,o,w,o,b,b,g,r,g,r,y,r,o,w,w,b,y,right-reversed
y,b,y,o,b,g,y,g,o,w,o,b,b,r,r,w,y,o,r,r,w,w,g,g,back-reversed
y,b,b,r,b,o,y,y,w,b,o,o,w,r,w,w,y,o,r,r,g,g,g,g,front-reversed
y,b,b,r,b,o,o,o,w,b,w,w,w,r,r,r,y,o,y,y,g,g,g,g,bottom-reversed
y,b,o,r,o,b,o,o,y,b,b,w,w,r,r,r,y,g,y,g,w,g,w,g,left
o,y,r,b,y,b,o,o,w,r,b,w,y,g,r,r,o,b,y,g,w,g,w,g,top
o,r,r,w,y,b,o,o,w,g,b,g,r,y,r,g,b,b,y,g,w,y,w,o,right
y,g,r,w,r,b,o,o,w,g,b,g,r,o,r,w,y,b,g,b,w,y,y,o,back
y,g,o,b,r,w,o,y,b,w,g,g,r,o,w,w,y,b,g,b,r,r,y,o,front
y,g,o,b,r,w,g,b,b,w,o,y,r,o,g,g,y,b,w,w,y,r,o,r,bottom
y,g,o,b,b,g,w,r,w,w,b,y,r,o,g,g,y,o,w,b,y,r,o,r,left-twice
b,o,g,y,r,o,w,r,y,o,b,y,b,g,g,g,w,w,w,b,y,r,o,r,top-twice
b,r,g,r,r,o,w,r,y,w,b,w,g,g,g,b,y,w,o,b,y,o,o,y,right-twice
y,o,g,r,b,o,g,r,y,w,b,w,g,w,g,r,b,o,w,y,y,o,r,b,back-twice
y,o,o,y,b,g,g,g,w,b,w,y,r,w,o,r,b,o,w,y,r,g,r,b,front-twice
y,o,o,y,b,g,o,r,w,b,w,y,r,w,g,g,b,o,w,y,b,r,g,r,bottom-twice
w,o,w,y,g,r,b,o,b,b,g,y,r,w,g,g,b,o,w,y,y,r,o,r,left-reversed
o,y,w,w,b,o,b,o,g,r,g,y,b,b,g,g,r,w,w,y,y,r,o,r,top-reversed
o,w,w,r,b,o,b,o,g,y,g,w,b,g,b,g,r,w,r,y,y,r,o,y,right-reversed
b,b,w,r,o,o,y,o,g,y,g,w,b,o,b,w,w,y,r,r,y,r,g,g,back-reversed
b,b,b,b,o,r,y,w,y,w,g,g,r,o,y,w,w,y,r,r,o,o,g,g,front-reversed
b,b,b,b,o,r,g,g,y,w,y,w,r,o,r,r,w,y,y,w,o,g,o,g,bottom-reversed
w,b,y,b,g,o,g,r,b,w,b,w,r,o,r,r,w,o,y,o,y,g,y,g,left
y,w,b,b,b,w,g,r,r,o,b,w,w,o,r,r,g,o,y,o,y,g,y,g,top
y,o,b,w,b,w,g,r,r,g,b,g,r,w,r,o,b,o,w,o,y,y,y,g,right
w,o,b,w,o,w,y,r,r,g,b,g,r,g,r,y,w,b,o,o,y,y,b,g,back
w,o,r,w,o,y,y,y,b,r,g,g,b,g,w,y,w,b,o,o,r,r,b,g,front
w,o,r,w,o,y,o,o,b,r,y,y,b,g,g,g,w,b,w,y,b,r,g,r,bottom
b,o,g,w,o,o,y,o,y,r,b,y,b,g,g,g,w,y,w,b,w,r,r,r,left-twice
w,g,o,b,b,g,y,o,w,y,b,y,o,o,g,g,y,r,w,b,w,r,r,r,top-twice
w,r,o,r,b,g,y,o,w,w,b,y,g,g,o,o,y,r,y,b,w,g,r,b,right-twice
b,r,o,r,o,g,g,o,w,w,b,y,g,y,o,b,b,y,r,y,w,g,r,w,back-twice
b,r,g,w,o,o,g,g,y,b,w,w,o,y,g,b,b,y,r,y,r,o,r,w,front-twice
b,r,g,w,o,o,g,b,y,b,r,y,o,y,g,g,b,y,w,w,w,r,o,r,bottom-twice
y,r,r,w,o,b,o,g,w,b,o,y,o,y,g,g,b,g,w,b,w,r,y,r,left-reversed
r,w,y,r,b,g,o,g,o,b,o,y,w,b,g,g,o,y,w,b,w,r,y,r,top-reversed
r,w,y,o,b,g,o,g,o,w,o,r,b,g,w,g,r,y,r,b,w,b,y,y,right-reversed
o,b,y,o,y,g,y,g,o,w,o,r,b,r,w,w,y,b,r,r,w,b,g,g,back-reversed
o,b,b,w,y,o,y,y,w,r,o,o,b,r,w,w,y,b,r,r,g,g,g,g,front-reversed
o,b,b,w,y,o,o,o,w,r,w,w,b,r,r,r,y,b,y,y,g,g,g,g,bottom-reversed
y,b,b,w,o,y,o,o,o,r,b,w,b,r,r,r,y,g,y,g,w,g,w,g,left
b,y,w,b,o,r,o,o,b,r,b,w,y,g,r,r,o,y,y,g,w,g,w,g,top
b,r,w,w,o,r,o,o,b,g,b,g,r,y,r,g,b,y,y,g,w,y,w,o,right
y,g,w,w,r,r,b,o,b,g,b,g,r,o,r,w,y,b,g,y,w,y,o,o,back
y,g,o,r,r,w,b,y,b,b,g,g,w,o,w,w,y,b,g,y,r,r,o,o,front
y,g,o,r,r,w,g,y,b,b,b,y,w,o,g,g,y,b,w,w,o,r,o,r,bottom
o,g,o,r,y,g,w,r,w,b,b,y,w,o,g,g,y,b,w,b,y,r,o,r,left-twice
r,o,g,o,w,o,w,r,y,b,b,y,y,g,g,g,w,b,w,b,y,r,o,r,top-twice
r,r,g,r,w,o,w,r,y,w,b,w,g,g,g,y,y,b,b,b,y,o,o,o,right-twice
o,o,g,r,y,o,g,r,y,w,b,w,g,w,g,w,b,b,b,y,y,o,r,r,back-twice
o,o,o,y,y,g,g,g,w,b,w,y,r,w,o,w,b,b,b,y,r,g,r,r,front-twice
o,o,o,y,y,g,o,w,w,b,b,y,r,w,g,g,b,b,w,y,r,r,g,r,bottom-twice
w,o,b,y,g,w,y,o,r,b,g,y,r,w,g,g,b,o,w,o,y,r,b,r,left-reversed
o,y,w,b,b,o,y,o,g,w,g,y,r,b,g,g,r,w,w,o,y,r,b,r,top-reversed
o,w,w,r,b,o,y,o,g,y,g,b,b,g,r,g,r,w,r,o,y,w,b,y,right-reversed
y,b,w,r,b,o,y,o,g,y,g,b,b,o,r,w,w,o,r,r,y,w,g,g,back-reversed
y,b,b,r,b,r,y,w,y,b,g,g,w,o,y,w,w,o,r,r,o,o,g,g,front-reversed
y,b,b,r,b,r,g,g,y,b,y,w,w,o,r,r,w,o,y,w,o,g,o,g,bottom-reversed
w,b,o,r,g,b,g,r,y,b,b,w,w,o,r,r,w,o,y,o,y,g,y,g,left
o,w,r,b,y,b,g,r,w,o,b,w,w,o,r,r,g,b,y,o,y,g,y,g,top
o,o,r,w,y,b,g,r,w,g,b,g,r,w,r,o,b,b,w,o,y,y,y,g,right
w,o,r,w,o,b,o,r,w,g,b,g,r,g,r,y,w,b,o,b,y,y,y,g,back
w,o,r,b,o,y,o,y,b,w,g,g,r,g,w,y,w,b,o,b,r,r,y,g,front
w,o,r,b,o,y,o,b,b,w,o,y,r,g,g,g,w,b,w,y,y,r,g,r,bottom
y,o,g,b,b,o,y,o,y,w,b,y,r,g,g,g,w,o,w,b,w,r,r,r,left-twice
b,g,o,y,r,g,y,o,w,o,b,y,b,o,g,g,y,w,w,b,w,r,r,r,top-twice
b,r,o,r,r,g,y,o,w,w,b,y,g,g,o,b,y,w,o,b,w,g,r,y,right-twice
y,r,o,r,b,g,g,o,w,w,b,y,g,y,o,r,b,o,w,y,w,g,r,b,back-twice
y,r,g,w,b,o,g,g,y,b,w,w,o,y,g,r,b,o,w,y,r,o,r,b,front-twice
y,r,g,w,b,o,g,r,y,b,w,y,o,y,g,g,b,o,w,w,b,r,o,r,bottom-twice
y,r,w,w,o,r,b,g,b,b,o,y,o,y,g,g,b,g,w,y,w,r,o,r,left-reversed
r,w,y,w,b,g,b,g,o,r,o,y,b,b,g,g,o,y,w,y,w,r,o,r,top-reversed
r,w,y,o,b,g,b,g,o,w,o,w,b,g,b,g,r,y,r,y,w,r,o,y,right-reversed
b,b,y,o,o,g,y,g,o,w,o,w,b,r,b,w,y,y,r,r,w,r,g,g,back-reversed
b,b,b,b,o,o,y,y,w,w,o,o,r,r,w,w,y,y,r,r,g,g,g,g,front-reversed
b,b,b,b,o,o,o,o,w,w,w,w,r,r,r,r,y,y,y,y,g,g,g,g,bottom-reversed
y,b,y,b,o,o,o,o,b,w,b,w,r,r,r,r,y,g,y,g,w,g,w,g,left
y,y,b,b,b,w,o,o,r,r,b,w,y,g,r,r,o,o,y,g,w,g,w,g,top
y,r,b,w,b,w,o,o,r,g,b,g,r,y,r,g,b,o,y,g,w,y,w,o,right
y,g,b,w,r,w,y,o,r,g,b,g,r,o,r,w,y,b,g,o,w,y,b,o,back
y,g,o,w,r,w,y,y,b,r,g,g,b,o,w,w,y,b,g,o,r,r,b,o,front
y,g,o,w,r,w,g,o,b,r,y,y,b,o,g,g,y,b,w,w,b,r,o,r,bottom
b,g,o,w,o,g,w,r,w,r,b,y,b,o,g,g,y,y,w,b,y,r,o,r,left-twice
w,o,g,b,b,o,w,r,y,y,b,y,o,g,g,g,w,r,w,b,y,r,o,r,top-twice
w,r,g,r,b,o,w,r,y,w,b,w,g,g,g,o,y,r,y,b,y,o,o,b,right-twice
b,o,g,r,o,o,g,r,y,w,b,w,g,w,g,b,b,y,r,y,y,o,r,w,back-twice
b,o,o,y,o,g,g,g,w,b,w,y,r,w,o,b,b,y,r,y,r,g,r,w,front-twice
b,o,o,y,o,g,o,b,w,b,r,y,r,w,g,g,b,y,w,y,w,r,g,r,bottom-twice
w,o,r,y,g,b,o,o,w,b,g,y,r,w,g,g,b,o,w,b,y,r,y,r,left-reversed
o,y,w,r,b,o,o,o,g,b,g,y,w,b,g,g,r,w,w,b,y,r,y,r,top-reversed
o,w,w,r,b,o,o,o,g,y,g,r,b,g,w,g,r,w,r,b,y,b,y,y,right-reversed
o,b,w,r,y,o,y,o,g,y,g,r,b,o,w,w,w,b,r,r,y,b,g,g,back-reversed
o,b,b,w,y,r,y,w,y,r,g,g,b,o,y,w,w,b,r,r,o,o,g,g,front-reversed
o,b,b,w,y,r,g,g,y,r,y,w,b,o,r,r,w,b,y,w,o,g,o,g,bottom-reversed
w,b,b,w,g,y,g,r,o,r,b,w,b,o,r,r,w,o,y,o,y,g,y,g,left
b,w,w,b,o,r,g,r,b,o,b,w,w,o,r,r,g,y,y,o,y,g,y,g,top
b,o,w,w,o,r,g,r,b,g,b,g,r,w,r,o,b,y,w,o,y,y,y,g,right
w,o,w,w,o,r,b,r,b,g,b,g,r,g,r,y,w,b,o,y,y,y,o,g,back
w,o,r,r,o,y,b,y,b,b,g,g,w,g,w,y,w,b,o,y,r,r,o,g,front
w,o,r,r,o,y,o,y,b,b,b,y,w,g,g,g,w,b,w,y,o,r,g,r,bottom
o,o,g,r,y,o,y,o,y,b,b,y,w,g,g,g,w,b,w,b,w,r,r,r,left-twice
r,g,o,o,w,g,y,o,w,b,b,y,y,o,g,g,y,b,w,b,w,r,r,r,top-twice
r,r,o,r,w,g,y,o,w,w,b,y,g,g,o,y,y,b,b,b,w,g,r,o,right-twice
o,r,o,r,y,g,g,o,w,w,b,y,g,y,o,w,b,b,b,y,w,g,r,r,back-twice
o,r,g,w,y,o,g,g,y,b,w,w,o,y,g,w,b,b,b,y,r,o,r,r,front-twice
o,r,g,w,y,o,g,w,y,b,b,y,o,y,g,g,b,b,w,w,r,r,o,r,bottom-twice
y,r,b,w,o,w,y,g,r,b,o,y,o,y,g,g,b,g,w,o,w,r,b,r,left-reversed
r,w,y,b,b,g,y,g,o,w,o,y,r,b,g,g,o,y,w,o,w,r,b,r,top-reversed
r,w,y,o,b,g,y,g,o,w,o,b,b,g,r,g,r,y,r,o,w,w,b,y,right-reversed
y,b,y,o,b,g,y,g,o,w,o,b,b,r,r,w,y,o,r,r,w,w,g,g,back-reversed
y,b,b,r,b,o,y,y,w,b,o,o,w,r,w,w,y,o,r,r,g,g,g,g,front-reversed
y,b,b,r,b,o,o,o,w,b,w,w,w,r,r,r,y,o,y,y,g,g,g,g,bottom-reversed
y,b,o,r,o,b,o,o,y,b,b,w,w,r,r,r,y,g,y,g,w,g,w,g,left
o,y,r,b,y,b,o,o,w,r,b,w,y,g,r,r,o,b,y,g,w,g,w,g,top
o,r,r,w,y,b,o,o,w,g,b,g,r,y,r,g,b,b,y,g,w,y,w,o,right
y,g,r,w,r,b,o,o,w,g,b,g,r,o,r,w,y,b,g,b,w,y,y,o,back
y,g,o,b,r,w,o,y,b,w,g,g,r,o,w,w,y,b,g,b,r,r,y,o,front
y,g,o,b,r,w,g,b,b,w,o,y,r,o,g,g,y,b,w,w,y,r,o,r,bottom
y,g,o,b,b,g,w,r,w,w,b,y,r,o,g,g,y,o,w,b,y,r,o,r,left-twice
b,o,g,y,r,o,w,r,y,o,b,y,b,g,g,g,w,w,w,b,y,r,o,r,top-twice
b,r,g,r,r,o,w,r,y,w,b,w,g,g,g,b,y,w,o,b,y,o,o,y,right-twice
y,o,g,r,b,o,g,r,y,w,b,w,g,w,g,r,b,o,w,y,y,o,r,b,back-twice
y,o,o,y,b,g,g,g,w,b,w,y,r,w,o,r,b,o,w,y,r,g,r,b,front-twice
y,o,o,y,b,g,o,r,w,b,w,y,r,w,g,g,b,o,w,y,b,r,g,r,bottom-twice
w,o,w,y,g,r,b,o,b,b,g,y,r,w,g,g,b,o,w,y,y,r,o,r,left-reversed
o,y,w,w,b,o,b,o,g,r,g,y,b,b,g,g,r,w,w,y,y,r,o,r,top-reversed
o,w,w,r,b,o,b,o,g,y,g,w,b,g,b,g,r,w,r,y,y,r,o,y,right-reversed
b,b,w,r,o,o,y,o,g,y,g,w,b,o,b,w,w,y,r,r,y,r,g,g,back-reversed
b,b,b,b,o,r,y,w,y,w,g,g,r,o,y,w,w,y,r,r,o,o,g,g,front-reversed
b,b,b,b,o,r,g,g,y,w,y,w,r,o,r,r,w,y,y,w,o,g,o,g,bottom-reversed
w,b,y,b,g,o,g,r,b,w,b,w,r,o,r,r,w,o,y,o,y,g,y,g,left
y,w,b,b,b,w,g,r,r,o,b,w,w,o,r,r,g,o,y,o,y,g,y,g,top
y,o,b,w,b,w,g,r,r,g,b,g,r,w,r,o,b,o,w,o,y,y,y,g,right
w,o,b,w,o,w,y,r,r,g,b,g,r,g,r,y,w,b,o,o,y,y,b,g,back
w,o,r,w,o,y,y,y,b,r,g,g,b,g,w,y,w,b,o,o,r,r,b,g,front
